Total Distance: 1319616
First		Second		Distance
23562		24441		879
23682		24447		765
23853		24577		724
24065		24577		512
24160		24577		417
24219		24577		358
24304		24577		273
24459		24732		273
24577		25094		517
24582		25151		569
24677		25169		492
24703		25406		703
24710		25667		957
24861		25778		917
24867		26196		1329
24968		26300		1332
24970		26386		1416
25063		26402		1339
25073		26688		1615
25079		26705		1626
25183		26799		1616
25185		26799		1614
25334		26799		1465
25390		26799		1409
25421		26799		1378
25522		26799		1277
25701		26799		1098
25733		26799		1066
25737		26799		1062
25784		26799		1015
25850		26799		949
25874		27172		1298
25988		27175		1187
26024		27429		1405
26312		27572		1260
26374		27594		1220
26388		27770		1382
26480		27770		1290
26487		27770		1283
26505		27770		1265
26568		27770		1202
26632		27770		1138
26722		27770		1048
26757		27770		1013
26799		27770		971
26829		27770		941
26980		27770		790
27041		27770		729
27149		27851		702
27190		27924		734
27722		27969		247
27748		28465		717
27757		28465		708
27770		28554		784
28130		28578		448
28153		28716		563
28344		28758		414
28401		28781		380
28465		28931		466
28475		29496		1021
28477		29496		1019
28620		29496		876
28985		29496		511
29223		29496		273
29251		29496		245
29297		29496		199
29416		29652		236
29496		29652		156
29509		29652		143
29534		29652		118
29546		29652		106
29575		29652		77
29648		29652		4
29652		29652		0
29658		29652		6
29733		29652		81
29793		29652		141
29918		29652		266
29935		29652		283
30032		29652		380
30142		29868		274
30161		29936		225
30176		29949		227
30242		30646		404
30244		30646		402
30289		30646		357
30367		30646		279
30406		30646		240
30456		30646		190
30551		30646		95
30587		30646		59
30610		30815		205
30646		30875		229
30738		30878		140
30938		31012		74
31018		31069		51
31072		31359		287
31147		31467		320
31259		31544		285
31304		31691		387
31511		31975		464
31512		31985		473
31736		32306		570
31759		32366		607
31859		32598		739
32007		32620		613
32010		32687		677
32039		32811		772
32160		32811		651
32203		32811		608
32285		32811		526
32292		32811		519
32312		32811		499
32384		32811		427
32393		32811		418
32437		33021		584
32462		33069		607
32609		33081		472
32649		33438		789
32741		33438		697
32811		33438		627
32858		33438		580
33107		33438		331
33438		33438		0
33530		33438		92
33590		33438		152
33747		33438		309
33830		33438		392
33881		33438		443
34019		33438		581
34128		33438		690
34222		33438		784
34345		33438		907
34564		33438		1126
34612		33438		1174
35182		33438		1744
35457		33500		1957
35548		33515		2033
35677		33750		1927
35745		33763		1982
35793		33851		1942
35989		33904		2085
35994		34009		1985
36041		34010		2031
36188		34111		2077
36260		34197		2063
36316		34310		2006
36376		34399		1977
36425		34419		2006
36448		34438		2010
36472		34558		1914
36501		34952		1549
36575		35018		1557
37009		35185		1824
37056		35300		1756
37131		35517		1614
37199		35633		1566
37242		35855		1387
37369		36163		1206
37476		36443		1033
37728		36577		1151
38003		36869		1134
38024		36981		1043
38189		37015		1174
38267		37316		951
38295		37345		950
38303		37354		949
38398		37358		1040
38480		37893		587
38484		38075		409
38544		38228		316
38545		38255		290
38555		38568		13
38659		38740		81
38881		39477		596
38955		39769		814
38985		40252		1267
39013		40439		1426
39273		40474		1201
39490		40577		1087
39662		40613		951
39697		40919		1222
39701		40919		1218
39798		40919		1121
39874		40919		1045
40154		40919		765
40166		40919		753
40214		40919		705
40299		40919		620
40395		40919		524
40440		40919		479
40503		40919		416
40545		40919		374
40653		41236		583
40711		41674		963
40775		42330		1555
40919		42398		1479
40970		42479		1509
40985		42701		1716
41091		42757		1666
41113		42757		1644
41114		42757		1643
41177		42757		1580
41192		42757		1565
41215		42784		1569
41240		43258		2018
41536		43258		1722
41601		43258		1657
41697		43258		1561
41707		43258		1551
41719		43258		1539
41834		43258		1424
41919		43258		1339
41964		43258		1294
41995		43258		1263
42302		43258		956
42337		43258		921
42360		43258		898
42595		43258		663
42658		43258		600
42757		43258		501
42768		43258		490
42788		43258		470
43026		43258		232
43054		43258		204
43161		44025		864
43193		44084		891
43206		44135		929
43258		44227		969
43354		44357		1003
43502		44527		1025
43565		44766		1201
43720		44956		1236
43733		45155		1422
43839		45425		1586
44031		45698		1667
44063		45698		1635
44135		45698		1563
44152		45698		1546
44198		45698		1500
44397		45698		1301
44665		45698		1033
44694		45698		1004
44722		45698		976
45105		45698		593
45289		45698		409
45381		45698		317
45429		45698		269
45549		45698		149
45656		45698		42
45698		45698		0
45741		45698		43
45846		46185		339
45888		46357		469
45913		46429		516
45967		46996		1029
46045		47132		1087
46134		47231		1097
46263		47888		1625
46293		47888		1595
46414		47888		1474
46626		47888		1262
46679		47888		1209
46737		47888		1151
46849		47888		1039
46928		47888		960
47057		47888		831
47059		47888		829
47061		47888		827
47141		47888		747
47203		47888		685
47293		47888		595
47331		47888		557
47338		47888		550
47473		47888		415
47597		47888		291
47761		47888		127
47888		47888		0
47905		47922		17
47914		48228		314
47927		48241		314
48029		48561		532
48121		48696		575
48258		48844		586
48462		49201		739
48546		49345		799
48823		49926		1103
48837		50213		1376
48855		50243		1388
48934		51002		2068
49013		51113		2100
49433		51171		1738
49584		51272		1688
49592		51324		1732
49657		51542		1885
49873		51588		1715
49915		51588		1673
50035		51588		1553
50078		51588		1510
50122		51588		1466
50257		51588		1331
50406		51588		1182
50424		51588		1164
50441		51588		1147
50840		51637		797
50893		51715		822
50921		51719		798
51039		51764		725
51276		51784		508
51306		51909		603
51468		52118		650
51476		52518		1042
51576		52605		1029
51588		52605		1017
51694		52605		911
51778		52605		827
51792		52605		813
51796		52605		809
51846		52605		759
51991		52605		614
52027		52605		578
52063		52605		542
52110		52605		495
52125		52605		480
52161		52605		444
52443		52605		162
52476		52605		129
52479		52845		366
52578		52910		332
52605		52980		375
52719		53053		334
52746		53112		366
53024		53176		152
53321		53429		108
53452		53664		212
53629		53727		98
53645		53860		215
53661		54749		1088
53785		54939		1154
53833		54942		1109
53842		55316		1474
53891		55502		1611
53938		55633		1695
53989		55718		1729
54028		55835		1807
54110		56010		1900
54247		56308		2061
54526		56339		1813
54637		56598		1961
54733		56714		1981
54813		56821		2008
54882		56992		2110
54951		57113		2162
55241		57435		2194
55267		57668		2401
55324		57741		2417
55363		58144		2781
55425		58155		2730
55438		58212		2774
55549		58297		2748
55648		58454		2806
55671		59052		3381
55685		59120		3435
55826		59151		3325
55894		59151		3257
56091		59151		3060
56106		59151		3045
56146		59151		3005
56227		59151		2924
56338		59151		2813
56391		59151		2760
56611		59151		2540
56671		59313		2642
56765		59495		2730
56818		59781		2963
56942		59781		2839
57023		59781		2758
57088		59781		2693
57255		59781		2526
57286		59781		2495
57336		59781		2445
57574		59781		2207
57645		59781		2136
57993		59781		1788
58006		59781		1775
58234		59781		1547
58302		59781		1479
58344		59781		1437
58420		60185		1765
58623		60359		1736
58720		60589		1869
58929		60664		1735
59054		60952		1898
59085		61105		2020
59151		61429		2278
59272		61475		2203
59353		61800		2447
59641		61800		2159
59712		61800		2088
59781		61800		2019
59827		61800		1973
59850		61800		1950
59922		61800		1878
59990		61800		1810
60062		61800		1738
60224		61800		1576
60269		61800		1531
60454		61800		1346
60494		61800		1306
60498		61800		1302
60594		61839		1245
60692		61839		1147
61032		61839		807
61078		61839		761
61087		61839		752
61094		61839		745
61152		61839		687
61211		61839		628
61245		61839		594
61299		61839		540
61308		61839		531
61363		61839		476
61518		61839		321
61546		61839		293
61592		61839		247
61640		61927		287
61688		62007		319
61766		62220		454
61780		62419		639
61794		62687		893
61800		62720		920
61838		62720		882
61839		62720		881
61857		62720		863
61889		62720		831
61910		62720		810
61978		62720		742
62000		62720		720
62079		62720		641
62203		62720		517
62264		62720		456
62401		62861		460
62569		63044		475
62720		63164		444
62767		63191		424
63191		63191		0
63204		63191		13
63215		63191		24
63456		63191		265
63507		63191		316
63526		63191		335
63653		63191		462
63734		63191		543
63925		63191		734
64013		63191		822
64359		63191		1168
64409		63191		1218
64426		63191		1235
64600		63191		1409
64759		63191		1568
64806		63191		1615
64860		63191		1669
64937		63283		1654
65053		63745		1308
65064		63915		1149
65265		63941		1324
65372		64081		1291
65423		64175		1248
65476		64359		1117
65607		64359		1248
65647		64359		1288
65683		64359		1324
65779		64359		1420
65786		64359		1427
65806		64359		1447
65808		64359		1449
65816		64359		1457
65912		64359		1553
65939		64359		1580
66212		64359		1853
66255		64359		1896
66344		64359		1985
66416		64359		2057
66454		64587		1867
66679		64832		1847
66798		65210		1588
66807		65212		1595
66814		65253		1561
66839		65343		1496
66925		65593		1332
66944		65786		1158
67041		65786		1255
67042		65786		1256
67070		65786		1284
67176		65786		1390
67290		65786		1504
67420		65786		1634
67574		65786		1788
67584		65786		1798
67610		65786		1824
67703		65786		1917
67710		65786		1924
67737		65786		1951
67751		65786		1965
67926		65786		2140
68038		65786		2252
68050		65786		2264
68130		66000		2130
68135		66098		2037
68138		66247		1891
68294		66281		2013
68315		66415		1900
68378		66607		1771
68434		66741		1693
68559		66743		1816
68569		66807		1762
68704		66807		1897
68919		66807		2112
69033		66807		2226
69315		66807		2508
69482		66807		2675
69509		66807		2702
69511		66807		2704
69691		66807		2884
69842		66807		3035
69878		66807		3071
69963		66807		3156
70136		66807		3329
70212		66807		3405
70317		66807		3510
70339		66807		3532
70432		66807		3625
70437		66807		3630
70502		66807		3695
70506		66829		3677
70571		66890		3681
70651		67030		3621
70657		67041		3616
70998		67041		3957
71392		67041		4351
71756		67041		4715
71767		67041		4726
71771		67041		4730
71782		67041		4741
71814		67041		4773
71827		67041		4786
72068		67041		5027
72079		67041		5038
72161		67041		5120
72214		67261		4953
72520		67442		5078
72537		67638		4899
72586		67923		4663
72666		68036		4630
72679		68282		4397
72853		68323		4530
72995		68845		4150
73127		69116		4011
73350		69223		4127
73362		69625		3737
73486		69734		3752
73541		69784		3757
73576		70111		3465
73586		70210		3376
73631		70337		3294
73703		70551		3152
73708		70612		3096
73802		70737		3065
73936		70854		3082
73961		71092		2869
74015		71173		2842
74123		71278		2845
74209		71404		2805
74291		71538		2753
74293		71900		2393
74569		71914		2655
74588		71924		2664
74684		72435		2249
74685		72462		2223
74832		72520		2312
74946		72520		2426
75082		72520		2562
75113		72520		2593
75123		72520		2603
75162		72520		2642
75168		72520		2648
75186		72520		2666
75203		72520		2683
75215		72520		2695
75220		72751		2469
75302		72850		2452
75339		73146		2193
75364		73356		2008
75505		73490		2015
75712		73604		2108
75725		73712		2013
75786		74026		1760
75864		74568		1296
75879		74703		1176
75930		74724		1206
75980		74726		1254
76054		74739		1315
76064		74846		1218
76112		74934		1178
76411		75044		1367
76419		75055		1364
76509		75407		1102
76689		75409		1280
76702		75536		1166
76753		75543		1210
76903		75570		1333
77229		75725		1504
77253		75725		1528
77296		75725		1571
77348		75725		1623
77378		75725		1653
77462		75725		1737
77472		75725		1747
77560		75725		1835
77601		76021		1580
77665		76311		1354
77770		76559		1211
77797		77315		482
77988		77327		661
78007		77371		636
78139		77508		631
78335		77560		775
78356		77560		796
78412		77560		852
78447		77560		887
78836		77560		1276
78957		77560		1397
79183		77560		1623
79186		77560		1626
79270		77560		1710
79310		77673		1637
79322		77685		1637
79383		77846		1537
79408		78074		1334
79435		78166		1269
79708		78265		1443
79734		78266		1468
79797		78302		1495
79881		78836		1045
79962		78836		1126
79963		78836		1127
80218		78836		1382
80381		78836		1545
80414		78836		1578
80439		78836		1603
80536		78836		1700
80558		78836		1722
80586		78836		1750
80842		78836		2006
80865		78836		2029
80962		78836		2126
81070		78836		2234
81209		78836		2373
81250		78836		2414
81331		78836		2495
81492		78856		2636
81747		78955		2792
81780		79043		2737
81875		79119		2756
81965		79173		2792
82093		79205		2888
82346		79695		2651
82468		79906		2562
82646		80072		2574
82698		80909		1789
82704		81028		1676
82768		81046		1722
82806		81085		1721
82910		81097		1813
83074		81145		1929
83217		81215		2002
83280		82291		989
83349		82526		823
83531		83292		239
83725		83328		397
83853		83489		364
84078		83521		557
84087		83739		348
84112		83758		354
84132		84153		21
84317		84251		66
84426		84420		6
84605		84426		179
84657		84426		231
84781		84426		355
84846		84426		420
85079		84697		382
85184		85038		146
85215		85267		52
85332		85324		8
85592		85385		207
85722		85812		90
85783		85863		80
85797		86034		237
85892		86065		173
86068		86249		181
86178		86251		73
86223		86251		28
86251		86251		0
86270		86251		19
86369		86251		118
86370		86251		119
86654		86251		403
86817		86251		566
86832		86251		581
86991		86251		740
87009		86251		758
87141		86251		890
87226		86251		975
87275		86251		1024
87300		86251		1049
87536		86251		1285
87584		86514		1070
87668		86544		1124
87694		86771		923
87747		86854		893
87897		86906		991
87917		87003		914
88088		87009		1079
88157		87009		1148
88207		87009		1198
88260		87009		1251
88263		87304		959
88379		87432		947
88412		87434		978
88545		87755		790
88615		87780		835
89121		87857		1264
89201		88675		526
89327		89198		129
89552		89451		101
89591		89544		47
89712		89611		101
89851		89691		160
89951		90308		357
90146		90323		177
90225		90432		207
90260		90812		552
90489		90963		474
90496		91405		909
90525		91608		1083
90625		91730		1105
90643		92198		1555
90750		92214		1464
90859		92471		1612
90999		92500		1501
91121		92877		1756
91196		92877		1681
91359		92877		1518
91379		92938		1559
91400		93056		1656
91532		93056		1524
91678		93056		1378
91705		93056		1351
91713		93056		1343
91913		93056		1143
91988		93056		1068
92074		93056		982
92259		93056		797
92271		93056		785
92281		93056		775
92300		93056		756
92330		93056		726
92384		93056		672
92509		93056		547
92588		93056		468
92609		93056		447
92702		93056		354
92875		93056		181
92877		93140		263
92893		93224		331
92975		93322		347
92982		93335		353
93056		93810		754
93067		94088		1021
93253		94277		1024
93425		94333		908
93459		94333		874
93481		94333		852
93541		94333		792
93787		94333		546
93917		94333		416
93930		94333		403
94333		94333		0
94367		94333		34
94411		94333		78
94528		94333		195
94584		94333		251
94668		94333		335
95042		94333		709
95190		94333		857
95227		94333		894
95242		94333		909
95243		94333		910
95361		94333		1028
95416		94333		1083
95437		94379		1058
95448		94430		1018
95487		94977		510
95552		95057		495
95609		95064		545
95670		95919		249
95800		96101		301
95885		96140		255
96248		96380		132
96409		96424		15
96685		96512		173
97324		96938		386
97509		97072		437
97544		97245		299
97727		97315		412
98037		97630		407
98051		98007		44
98158		98498		340
98555		98555		0
98568		98555		13
98663		98561		102
98670		98707		37
98792		98828		36
98966		98832		134
98989		99079		90
99164		99178		14
99233		99203		30
99275		99501		226
99320		99593		273
99355		99698		343
